"url","section","title_or_h1","primary_audience","primary_action","keep_cut_merge","content_status","template_guess","notes"
"kb/what-custom-ai-automation-costs.html","kb","What custom AI automation costs","business-buyer","scope a build","keep","real","long-form","Cost explainer supports pricing page and contact CTA."
"kb/what-you-own-means.html","kb","What ownership means in an AI build","business-buyer","start a build / contact","keep","real","long-form","Ownership explainer is central to DPR differentiation."
"learn/index.html","learn","Practice AI. Don't just read about it.","general","build a prompt","keep","real","tool","Hands-on prompt builder is distinct from the reading guide."
"method.html","root","The Owned-AI Method","business-buyer","start a build / contact","keep","real","landing","Core method page is strong and explains the six-module delivery model."
"news/index.html","news","The AI news that actually matters.","general","read AI news","keep","real","list-index","News page has a clear curation promise and contact bridge."
"onepager-dpr.html","root","We build AI that runs your business, and we prove it works. DPR is an AI consult","investor","start the conversation","keep","real","dataroom-doc","Investor one-pager is concise and shareable."
"own-it.html","root","You own it: what client-owned AI really means.","business-buyer","start a build / contact","keep","real","long-form","Strong client-owned AI page; pillar content for no-lock-in message."
"pilot-scoping-guide.html","root","Redirecting to DPR AI","business-buyer","start a build / contact","merge:contact.html","placeholder","other","Redirect stub from old pilot-scoping page; no standalone content."
"pilot.html","root","Redirecting to DPR AI","business-buyer","start a build / contact","merge:contact.html","placeholder","other","Redirect stub from old pilot page; no standalone content."
"playbook.html","root","The automation field guide most vendors will not hand you.","business-buyer","score AI readiness","keep","real","long-form","Anti-slop playbook is substantive and useful as a diagnostic page."
"pricing.html","root","Start small. Pay more only when it works.","business-buyer","start a build / contact","keep","real","pricing","Pricing ladder is clear and aligned to proof-before-scale."
"proof.html","root","No borrowed logos. Numbers you can check.","business-buyer","start a build / contact","keep","real","proof-case","Proof page is important but could use more specific evidence artifacts."
"score/index.html","score","Is your AI feature any good — or is it slop?","business-buyer","score AI feature","keep","real","tool","Interactive scorecard has clear purpose despite short static text."
"slop.html","root","Most AI shipped today is slop.","business-buyer","start a build / contact","keep","real","landing","Strong manifesto page; distinctive anti-slop positioning."
"teardowns.html","root","Most AI builds don't die in the model.","business-buyer","book free teardown","keep","real","landing","Good diagnostic landing page with clear teardown invitation."
"train/dashboard.html","train","Your progress","general","view progress","keep","thin","tool","Progress dashboard is useful but has little standalone content."
"train/index.html","train","Learn AI by doing, not reading.","general","start training module","keep","broken","tool","Module cards reference missing assets/mods/${id}.png images."
"train/lesson.html","train","Loading…","general","complete lesson","keep","placeholder","tool","Dynamic lesson shell; static page only shows Loading without lesson data."
"train/module.html","train","Loading…","general","open lesson","keep","placeholder","tool","Dynamic module shell; static page only shows Loading without module data."
"what-investors-screen.html","root","What investors actually screen AI startups on (2026).","founder","read investor criteria","merge:blog/what-investors-want.html","real","long-form","Overlaps heavily with the stronger investor-screening blog article."
